group	group_name	seqnames	start	end	width	strand	score
1	PC1	chrX	1	400602	400602	*	NA
1	PC1	chrX	133535	534136	400602	*	NA
1	PC1	chrX	267069	667670	400602	*	NA
1	PC1	chrX	400603	801204	400602	*	NA
1	PC1	chrX	534137	934738	400602	*	NA
1	PC1	chrX	667671	1068272	400602	*	NA
1	PC1	chrX	801205	1201806	400602	*	NA
1	PC1	chrX	934739	1335340	400602	*	NA
1	PC1	chrX	1068273	1468874	400602	*	NA
1	PC1	chrX	1201807	1602408	400602	*	NA
1	PC1	chrX	1335341	1735942	400602	*	NA
1	PC1	chrX	1468875	1869476	400602	*	NA
1	PC1	chrX	1602409	2003010	400602	*	NA
1	PC1	chrX	1735943	2136544	400602	*	NA
1	PC1	chrX	1869477	2270078	400602	*	NA
1	PC1	chrX	2003011	2403612	400602	*	NA
1	PC1	chrX	2136545	2537146	400602	*	NA
1	PC1	chrX	2270079	2670680	400602	*	NA
1	PC1	chrX	2403613	2804214	400602	*	NA
1	PC1	chrX	2537147	2937748	400602	*	NA
1	PC1	chrX	2670681	3071282	400602	*	NA
1	PC1	chrX	2804215	3204816	400602	*	NA
1	PC1	chrX	2937749	3338350	400602	*	NA
1	PC1	chrX	3071283	3471884	400602	*	NA
1	PC1	chrX	3204817	3605418	400602	*	NA
1	PC1	chrX	3338351	3738952	400602	*	NA
1	PC1	chrX	3471885	3872486	400602	*	NA
1	PC1	chrX	3605419	4006020	400602	*	NA
1	PC1	chrX	3738953	4139554	400602	*	NA
1	PC1	chrX	3872487	4273088	400602	*	NA
1	PC1	chrX	4006021	4406622	400602	*	NA
1	PC1	chrX	4139555	4540156	400602	*	NA
1	PC1	chrX	4273089	4673690	400602	*	NA
1	PC1	chrX	4406623	4807224	400602	*	NA
1	PC1	chrX	4540157	4940758	400602	*	NA
1	PC1	chrX	4673691	5074292	400602	*	-0.026
1	PC1	chrX	4807225	5207826	400602	*	-0.03
1	PC1	chrX	4940759	5341360	400602	*	-0.033
1	PC1	chrX	5074293	5474894	400602	*	-0.033
1	PC1	chrX	5207827	5608428	400602	*	-0.029
1	PC1	chrX	5341361	5741962	400602	*	-0.018
1	PC1	chrX	5474895	5875496	400602	*	-0.001
1	PC1	chrX	5608429	6009030	400602	*	0.007
1	PC1	chrX	5741963	6142564	400602	*	0
1	PC1	chrX	5875497	6276098	400602	*	0.009
1	PC1	chrX	6009031	6409632	400602	*	0.01
1	PC1	chrX	6142565	6543166	400602	*	0.017
1	PC1	chrX	6276099	6676700	400602	*	0.013
1	PC1	chrX	6409633	6810234	400602	*	0.011
1	PC1	chrX	6543167	6943768	400602	*	0.019
1	PC1	chrX	6676701	7077302	400602	*	0.034
1	PC1	chrX	6810235	7210836	400602	*	0.039
1	PC1	chrX	6943769	7344370	400602	*	0.04
1	PC1	chrX	7077303	7477904	400602	*	0.04
1	PC1	chrX	7210837	7611438	400602	*	0.04
1	PC1	chrX	7344371	7744972	400602	*	0.04
1	PC1	chrX	7477905	7878506	400602	*	0.04
1	PC1	chrX	7611439	8012040	400602	*	0.037
1	PC1	chrX	7744973	8145574	400602	*	0.024
1	PC1	chrX	7878507	8279108	400602	*	-0.011
1	PC1	chrX	8012041	8412642	400602	*	-0.015
1	PC1	chrX	8145575	8546176	400602	*	0.001
1	PC1	chrX	8279109	8679710	400602	*	0.003
1	PC1	chrX	8412643	8813244	400602	*	0.021
1	PC1	chrX	8546177	8946778	400602	*	0.024
1	PC1	chrX	8679711	9080312	400602	*	0.025
1	PC1	chrX	8813245	9213846	400602	*	-0.002
1	PC1	chrX	8946779	9347380	400602	*	-0.019
1	PC1	chrX	9080313	9480914	400602	*	-0.026
1	PC1	chrX	9213847	9614448	400602	*	-0.028
1	PC1	chrX	9347381	9747982	400602	*	-0.025
1	PC1	chrX	9480915	9881516	400602	*	-0.019
1	PC1	chrX	9614449	10015050	400602	*	-0.011
1	PC1	chrX	9747983	10148584	400602	*	-0.01
1	PC1	chrX	9881517	10282118	400602	*	-0.005
1	PC1	chrX	10015051	10415652	400602	*	0.012
1	PC1	chrX	10148585	10549186	400602	*	0.009
1	PC1	chrX	10282119	10682720	400602	*	0.003
1	PC1	chrX	10415653	10816254	400602	*	-0.014
1	PC1	chrX	10549187	10949788	400602	*	-0.008
1	PC1	chrX	10682721	11083322	400602	*	0.006
1	PC1	chrX	10816255	11216856	400602	*	0.026
1	PC1	chrX	10949789	11350390	400602	*	0.036
1	PC1	chrX	11083323	11483924	400602	*	0.038
1	PC1	chrX	11216857	11617458	400602	*	0.039
1	PC1	chrX	11350391	11750992	400602	*	0.04
1	PC1	chrX	11483925	11884526	400602	*	0.04
1	PC1	chrX	11617459	12018060	400602	*	0.041
1	PC1	chrX	11750993	12151594	400602	*	0.04
1	PC1	chrX	11884527	12285128	400602	*	0.041
1	PC1	chrX	12018061	12418662	400602	*	0.041
1	PC1	chrX	12151595	12552196	400602	*	0.04
1	PC1	chrX	12285129	12685730	400602	*	0.04
1	PC1	chrX	12418663	12819264	400602	*	0.04
1	PC1	chrX	12552197	12952798	400602	*	0.04
1	PC1	chrX	12685731	13086332	400602	*	0.039
1	PC1	chrX	12819265	13219866	400602	*	0.037
1	PC1	chrX	12952799	13353400	400602	*	0.036
1	PC1	chrX	13086333	13486934	400602	*	0.032
1	PC1	chrX	13219867	13620468	400602	*	0.021
1	PC1	chrX	13353401	13754002	400602	*	-0.01
